Ticker,Weight
AMZN,3
AAPL,3
FB,3
MSFT,3
NFLX,3
TSLA,3
CTAS,3
NVDA,3
GOOG,3
SQ,3
PYPL,3
MA,3
V,3
BABA,3
AMAT,3
LRCX,3
AMD,3
INTC,3
TWTR,3
LOW,3
BA,3
CAT,3
JPM,3
HD,3
UNH,3
HDB,3
RTX,3
AVGO,3
CRM,3
ADBE,3
